Password,Has Lowercase,Has Uppercase,Has Special Character,Length,Strength,Has Number,Character Variety Score,Is Long Password,Estimated Score
N;oL)GO+K,True,True,True,9,Strong,False,3,False,57
<`=cQ~[H'b,True,True,True,10,Strong,False,3,False,60
PMv=4,True,True,True,5,Weak,True,4,False,55
5;MyD,True,True,True,5,Weak,True,4,False,55
DWqG,True,True,False,4,Weak,False,2,False,32
~)KdYwD+a`)H,True,True,True,12,Strong,False,3,True,81
"(+L:22Nj""qN",True,True,True,11,Strong,True,4,False,73
J8Q*,False,True,True,4,Weak,True,3,False,42
"KUWta,>+=nE)#",True,True,True,13,Strong,False,3,True,84
P|PhS,True,True,True,5,Weak,False,3,False,45
o/<Mr^dET8,True,True,True,10,Strong,True,4,False,70
"E,>M%I""Uu'IzLCh",True,True,True,15,Strong,False,3,True,90
.a),True,False,True,3,Weak,False,2,False,29
"NA['zoa4""O=5l`",True,True,True,14,Strong,True,4,True,97
^5A6Xw,True,True,True,6,Medium,True,4,False,58
+NpmEPTVq?,True,True,True,10,Strong,False,3,False,60
XN)K;,False,True,True,5,Weak,False,2,False,35
"znJ6$;B(YV""6",True,True,True,12,Strong,True,4,True,91
A^;pOUU|o%6LVzP,True,True,True,15,Strong,True,4,True,100
2k%lZ!2C1vrZU,True,True,True,13,Strong,True,4,True,94
49qL,True,True,False,4,Weak,True,3,False,42
DWm=SPFA0,True,True,True,9,Strong,True,4,False,67
V8y&7:2V\>y3,True,True,True,12,Strong,True,4,True,91
7DP>OS%[z,True,True,True,9,Strong,True,4,False,67
iIez*kMd3b%5v[,True,True,True,14,Strong,True,4,True,97
"c_o/""F4\AEVw",True,True,True,12,Strong,True,4,True,91
"Z'k""pJ!!",True,True,True,8,Strong,False,3,False,54
@Wv^lL/C#q+|TC,True,True,True,14,Strong,False,3,True,87
BVC!5,False,True,True,5,Weak,True,3,False,45
i^M|I`DSmS}WI0-,True,True,True,15,Strong,True,4,True,100
0N623u,True,True,False,6,Medium,True,3,False,48
"EARV$gt#}w7d9,",True,True,True,14,Strong,True,4,True,97
U7&hP4,True,True,True,6,Medium,True,4,False,58
"WmpC]p&jl]JIPU,;",True,True,True,16,Strong,False,3,True,93
B%hOuq,True,True,True,6,Medium,False,3,False,48
l-MhY{S,True,True,True,7,Medium,False,3,False,51
?a;>G`nBZU@&{|@1,True,True,True,16,Strong,True,4,True,100
^&L0cA5`G,True,True,True,9,Strong,True,4,False,67
'2O*M?)4>Nyq@,True,True,True,13,Strong,True,4,True,94
"5+~da1t,C2qi_",True,True,True,13,Strong,True,4,True,94
"%,eHSLgAM",True,True,True,9,Strong,False,3,False,57
S3t:@_,True,True,True,6,Medium,True,4,False,58
D\4;E#UwM,True,True,True,9,Strong,True,4,False,67
hMVZ3xc45s\;%DF,True,True,True,15,Strong,True,4,True,100
b\PS5j2,True,True,True,7,Medium,True,4,False,61
`wC<uLWlx9YIS,True,True,True,13,Strong,True,4,True,94
n&vy(G#LQH1#[oRA,True,True,True,16,Strong,True,4,True,100
dRno''S,True,True,True,7,Medium,False,3,False,51
"Aq""XpZi",True,True,True,7,Medium,False,3,False,51
$G>u]A,True,True,True,6,Medium,False,3,False,48
N'N@V)k1||,True,True,True,10,Strong,True,4,False,70
oC18J\kL!UD}I,True,True,True,13,Strong,True,4,True,94
XjL0v,True,True,False,5,Weak,True,3,False,45
)pk~}&Hr&:%!<T,True,True,True,14,Strong,False,3,True,87
3C3/S?gX>T,True,True,True,10,Strong,True,4,False,70
gkXh\(9!?_M)Wr,True,True,True,14,Strong,True,4,True,97
MqMU6-]\Az,True,True,True,10,Strong,True,4,False,70
m4<{5OS.M@Rwd,True,True,True,13,Strong,True,4,True,94
sJNE{<]a2jyZ,True,True,True,12,Strong,True,4,True,91
"}M~<""_",False,True,True,6,Medium,False,2,False,38
l^RK1k},True,True,True,7,Medium,True,4,False,61
iq6MIg;bM9t,True,True,True,11,Strong,True,4,False,73
uax62[fb{Z39mAN,True,True,True,15,Strong,True,4,True,100
V=9jN0B6RH,True,True,True,10,Strong,True,4,False,70
P>3OS55%D{,False,True,True,10,Medium,True,3,False,60
"o{oiH""U",True,True,True,7,Medium,False,3,False,51
}R&^tBbHr>P!\&6,True,True,True,15,Strong,True,4,True,100
"|""h)f<J",True,True,True,7,Medium,False,3,False,51
uCO/:Xx7rEX),True,True,True,12,Strong,True,4,True,91
":nU?uWyt)""",True,True,True,10,Strong,False,3,False,60
|9C}l%,True,True,True,6,Medium,True,4,False,58
X5{,False,True,True,3,Weak,True,3,False,39
(q4'le',True,False,True,7,Medium,True,3,False,51
P-rn6)G~ds>h++,True,True,True,14,Strong,True,4,True,97
p/v.F/(,True,True,True,7,Medium,False,3,False,51
"Yu/@K_R@2""HA",True,True,True,12,Strong,True,4,True,91
bVJ]@^y+A,True,True,True,9,Strong,False,3,False,57
"{N5*x,A%B[",True,True,True,10,Strong,True,4,False,70
UrN72Ih`j,True,True,True,9,Strong,True,4,False,67
-I{,False,True,True,3,Weak,False,2,False,29
jk[a7d<y,True,False,True,8,Medium,True,3,False,54
"|,A",False,True,True,3,Weak,False,2,False,29
kR1:'HFqRv],True,True,True,11,Strong,True,4,False,73
tm}s,True,False,True,4,Weak,False,2,False,32
"xj!&f$nU:.""Yy~!@",True,True,True,16,Strong,False,3,True,93
rkR#H`/vGJ|/;,True,True,True,13,Strong,False,3,True,84
.Bkd#j,True,True,True,6,Medium,False,3,False,48
"yN`TK0"";.",True,True,True,9,Strong,True,4,False,67
1%]}MGK,False,True,True,7,Medium,True,3,False,51
8q34JG^lN,True,True,True,9,Strong,True,4,False,67
Z1qW,True,True,False,4,Weak,True,3,False,42
")EM~4Xk-rt""Up",True,True,True,13,Strong,True,4,True,94
_MB#Ihljt0,True,True,True,10,Strong,True,4,False,70
%#qQtoR!m`\X8H09,True,True,True,16,Strong,True,4,True,100
X_h~AMR_4s-0,True,True,True,12,Strong,True,4,True,91
2)\`gh^&\%&4iWeT,True,True,True,16,Strong,True,4,True,100
!BDR-\;0k,True,True,True,9,Strong,True,4,False,67
Q9}W=>~2e{4pN~,True,True,True,14,Strong,True,4,True,97
ml9S(t,True,True,True,6,Medium,True,4,False,58
",&pfGfWFN",True,True,True,9,Strong,False,3,False,57
&'?i'MbPx\R,True,True,True,11,Strong,False,3,False,63
S27I6Tf#S,True,True,True,9,Strong,True,4,False,67
`GM0Y!8z|\tB.JC,True,True,True,15,Strong,True,4,True,100
>z}R&'<a,True,True,True,8,Strong,False,3,False,54
sXgL\#!fP*PLaHf,True,True,True,15,Strong,False,3,True,90
r>I,True,True,True,3,Weak,False,3,False,39
'iaya.1N;0,True,True,True,10,Strong,True,4,False,70
Thc+y:.BL,True,True,True,9,Strong,False,3,False,57
z~q{+4o;.(;tBI6,True,True,True,15,Strong,True,4,True,100
]U2ZV6koQ,True,True,True,9,Strong,True,4,False,67
HFd,True,True,False,3,Weak,False,2,False,29
5lmLJ_~Uro2#d,True,True,True,13,Strong,True,4,True,94
iqXJcGlv;HmB)E,True,True,True,14,Strong,False,3,True,87
@l|],True,False,True,4,Weak,False,2,False,32
"6lAV""Rp9;0v5",True,True,True,12,Strong,True,4,True,91
0?9I,False,True,True,4,Weak,True,3,False,42
bNFn'j,True,True,True,6,Medium,False,3,False,48
#*<rLf$%$5&11zZ|,True,True,True,16,Strong,True,4,True,100
J2#1a,True,True,True,5,Weak,True,4,False,55
M3R6jmU}SFKv,True,True,True,12,Strong,True,4,True,91
$15XR\n,True,True,True,7,Medium,True,4,False,61
Fv>ThaSAR='pI,True,True,True,13,Strong,False,3,True,84
BN|hH,True,True,True,5,Weak,False,3,False,45
8IGhKvNnW)/,True,True,True,11,Strong,True,4,False,73
DEYleJ-_zN,True,True,True,10,Strong,False,3,False,60
"b'I\rp}1va""",True,True,True,11,Strong,True,4,False,73
x%bg2y,True,False,True,6,Medium,True,3,False,48
"W:+mO)""#b+?*9lj'",True,True,True,16,Strong,True,4,True,100
QH],False,True,True,3,Weak,False,2,False,29
"%JcU""HF&*",True,True,True,9,Strong,False,3,False,57
"\M,.4E",False,True,True,6,Medium,True,3,False,48
"28J*KM.b""",True,True,True,9,Strong,True,4,False,67
&AwTKLxi^*Qy\fpK,True,True,True,16,Strong,False,3,True,93
"|yy@""UUXd6k",True,True,True,11,Strong,True,4,False,73
G0$6>NLk`6@)fU,True,True,True,14,Strong,True,4,True,97
u(*t'#ZO+S0,True,True,True,11,Strong,True,4,False,73
K]xr(Ch$d,True,True,True,9,Strong,False,3,False,57
%HQJ%&T/q_CmZKF,True,True,True,15,Strong,False,3,True,90
mfWLo#$ky^eC,True,True,True,12,Strong,False,3,True,81
UAbw{UVW,True,True,True,8,Strong,False,3,False,54
lt&760=RNR,True,True,True,10,Strong,True,4,False,70
$z?<F@I,True,True,True,7,Medium,False,3,False,51
wws*,True,False,True,4,Weak,False,2,False,32
L-1,False,True,True,3,Weak,True,3,False,39
qB^(SXWYo4f',True,True,True,12,Strong,True,4,True,91
yLne{FZ[/+H,True,True,True,11,Strong,False,3,False,63
hODF6\x:e,True,True,True,9,Strong,True,4,False,67
<Oj,True,True,True,3,Weak,False,3,False,39
pxL'',True,True,True,5,Weak,False,3,False,45
"iOVn?&It""~4Woi",True,True,True,14,Strong,True,4,True,97
xtm&Pf,True,True,True,6,Medium,False,3,False,48
"P6(,C_2",False,True,True,7,Medium,True,3,False,51
rcI\xP,True,True,True,6,Medium,False,3,False,48
zbHD[>dzGOz-,True,True,True,12,Strong,False,3,True,81
"f=e;d,1s*v@Y",True,True,True,12,Strong,True,4,True,91
"aN=""",True,True,True,4,Weak,False,3,False,42
",a*DbKm=o,",True,True,True,10,Strong,False,3,False,60
"""\^v",True,False,True,4,Weak,False,2,False,32
wF#2qqy/|2720\Pb,True,True,True,16,Strong,True,4,True,100
!(4,False,False,True,3,Weak,True,2,False,29
_.'fZGZ,True,True,True,7,Medium,False,3,False,51
")""{HY`mMWyD@]h",True,True,True,14,Strong,False,3,True,87
"^Z(pp^io#v[ET"",",True,True,True,15,Strong,False,3,True,90
cphAq}i,True,True,True,7,Medium,False,3,False,51
"cI`H#:8,",True,True,True,8,Strong,True,4,False,64
WXsaM,True,True,False,5,Weak,False,2,False,35
pR{$,True,True,True,4,Weak,False,3,False,42
g(s}yCp.fv4%(,True,True,True,13,Strong,True,4,True,94
gNT\P,True,True,True,5,Weak,False,3,False,45
ix$'7b~k[xMN,True,True,True,12,Strong,True,4,True,91
"ra5U""a25&^2"")",True,True,True,13,Strong,True,4,True,94
$}hf:<%LwO,True,True,True,10,Strong,False,3,False,60
yLj/Ig>Pu4,True,True,True,10,Strong,True,4,False,70
46vkUwIH.u,True,True,True,10,Strong,True,4,False,70
jRI}.;@Q+T(,True,True,True,11,Strong,False,3,False,63
@d:(*AOx,True,True,True,8,Strong,False,3,False,54
UTQ3[bE<6nNNT],True,True,True,14,Strong,True,4,True,97
tuBhLW,True,True,False,6,Medium,False,2,False,38
"O9e""9s/lAK\ag1us",True,True,True,16,Strong,True,4,True,100
kW/AW[KA@Gtyqut,True,True,True,15,Strong,False,3,True,90
'{[V,False,True,True,4,Weak,False,2,False,32
u68V1QtU,True,True,False,8,Medium,True,3,False,54
\N~d8O/y,True,True,True,8,Strong,True,4,False,64
"z,--wB8p6",True,True,True,9,Strong,True,4,False,67
.wlIF+pu}[v:,True,True,True,12,Strong,False,3,True,81
NW6xRz]N??<,True,True,True,11,Strong,True,4,False,73
"""+,`=Ox",True,True,True,7,Medium,False,3,False,51
[8(?J,False,True,True,5,Weak,True,3,False,45
jn%|[N;L]b,True,True,True,10,Strong,False,3,False,60
-zIj1(<a,True,True,True,8,Strong,True,4,False,64
"Y,KBd,EBYy3>Bt",True,True,True,14,Strong,True,4,True,97
3`9PbU]/9,True,True,True,9,Strong,True,4,False,67
d;K<tq(=h~2uqX,True,True,True,14,Strong,True,4,True,97
g_9vzuwd$T.,True,True,True,11,Strong,True,4,False,73
g|KIKq,True,True,True,6,Medium,False,3,False,48
xh(w')0o,True,False,True,8,Medium,True,3,False,54
d`Q|{y%/Ih4WX_?Y,True,True,True,16,Strong,True,4,True,100
[zk?/_O,True,True,True,7,Medium,False,3,False,51
$n|UDpj%<l,True,True,True,10,Strong,False,3,False,60
TU3FW_h,True,True,True,7,Medium,True,4,False,61
"\_3a)N,+7E*oq",True,True,True,13,Strong,True,4,True,94
".<fZ""8FNxd_z",True,True,True,12,Strong,True,4,True,91
}]}ogUC,True,True,True,7,Medium,False,3,False,51
n/F,True,True,True,3,Weak,False,3,False,39
u23>QJ,True,True,True,6,Medium,True,4,False,58
Hp\R0]WdCtj3.d|=,True,True,True,16,Strong,True,4,True,100
dfmI1X_,True,True,True,7,Medium,True,4,False,61
*>$H(CXgI8(RoUVw,True,True,True,16,Strong,True,4,True,100
F|4'<9ZFa,True,True,True,9,Strong,True,4,False,67
CT#NsI/xw,True,True,True,9,Strong,False,3,False,57
yhNy}m}4_}V,True,True,True,11,Strong,True,4,False,73
"X8;.,kXqAC[A",True,True,True,12,Strong,True,4,True,91
yMP4_e8hW,True,True,True,9,Strong,True,4,False,67
"`%uf,D~In#x""",True,True,True,12,Strong,False,3,True,81
ixBr7,True,True,False,5,Weak,True,3,False,45
ox`aGyW[(6G&iJ,True,True,True,14,Strong,True,4,True,97
NRkK?B,True,True,True,6,Medium,False,3,False,48
qz2,True,False,False,3,Weak,True,2,False,29
SMa=v)|5Hy(Xf~%Q,True,True,True,16,Strong,True,4,True,100
.M6a??x\?WX,True,True,True,11,Strong,True,4,False,73
3kE.,True,True,True,4,Weak,True,4,False,52
3zf|xYa#+,True,True,True,9,Strong,True,4,False,67
.ms4S_yQ;yScfI(U,True,True,True,16,Strong,True,4,True,100
gid-K&L!fa*,True,True,True,11,Strong,False,3,False,63
>:9G,False,True,True,4,Weak,True,3,False,42
>8`Iad)dv~aC21,True,True,True,14,Strong,True,4,True,97
-.HAwV::T,True,True,True,9,Strong,False,3,False,57
qqBB<iM,True,True,True,7,Medium,False,3,False,51
8+){S,False,True,True,5,Weak,True,3,False,45
(+@(`,False,False,True,5,Weak,False,1,False,25
p~iD](00M-G/>,True,True,True,13,Strong,True,4,True,94
"^BNlE""",True,True,True,6,Medium,False,3,False,48
?)Xqe,True,True,True,5,Weak,False,3,False,45
"JAkm""|j",True,True,True,7,Medium,False,3,False,51
]gVB4-?&0A,True,True,True,10,Strong,True,4,False,70
"6,0B",False,True,True,4,Weak,True,3,False,42
0j}^Mk4c82d0|o!,True,True,True,15,Strong,True,4,True,100
$].nJY=fuqz9,True,True,True,12,Strong,True,4,True,91
H:sNZ,True,True,True,5,Weak,False,3,False,45
mN8*k9Pz`,True,True,True,9,Strong,True,4,False,67
WOm@`F3ZveB8.,True,True,True,13,Strong,True,4,True,94
0;Ht=m,True,True,True,6,Medium,True,4,False,58
T&iI,True,True,True,4,Weak,False,3,False,42
"_(59N:?#o,",True,True,True,10,Strong,True,4,False,70
%GaC},True,True,True,5,Weak,False,3,False,45
Sz_yotkDR-,True,True,True,10,Strong,False,3,False,60
64N(hTho,True,True,True,8,Strong,True,4,False,64
87!T.T5/dqA,True,True,True,11,Strong,True,4,False,73
!P7}jl$,True,True,True,7,Medium,True,4,False,61
b>KK,True,True,True,4,Weak,False,3,False,42
wR*UQ3!7A_i7/1,True,True,True,14,Strong,True,4,True,97
o`4/j@td]uq1[RA,True,True,True,15,Strong,True,4,True,100
7t`<NPf'LKZt011Y,True,True,True,16,Strong,True,4,True,100
AzjI,True,True,False,4,Weak,False,2,False,32
}r+>InDh83|8x`W7,True,True,True,16,Strong,True,4,True,100
kchNyJ^iK>',True,True,True,11,Strong,False,3,False,63
Xt`HxL.,True,True,True,7,Medium,False,3,False,51
"muhWokL*|""JLB~e",True,True,True,15,Strong,False,3,True,90
:\a$8NE`|g[on,True,True,True,13,Strong,True,4,True,94
=+\A`qsNt,True,True,True,9,Strong,False,3,False,57
",86v3H!O{0R^]",True,True,True,13,Strong,True,4,True,94
WHNux,True,True,False,5,Weak,False,2,False,35
:$-a,True,False,True,4,Weak,False,2,False,32
"MchBs""]1LJ>rcptE",True,True,True,16,Strong,True,4,True,100
@5aJ+,True,True,True,5,Weak,True,4,False,55
hHn7V@!T,True,True,True,8,Strong,True,4,False,64
aumxUfx:Q#.kt][<,True,True,True,16,Strong,False,3,True,93
TRpe,True,True,False,4,Weak,False,2,False,32
aTBD5.j<,True,True,True,8,Strong,True,4,False,64
j0%I,True,True,True,4,Weak,True,4,False,52
cDms7LNo,True,True,False,8,Medium,True,3,False,54
M:#<S(:HwP6t$,True,True,True,13,Strong,True,4,True,94
eJK>F(c,True,True,True,7,Medium,False,3,False,51
We-+J}kbCa-Th,True,True,True,13,Strong,False,3,True,84
6{}_h/s!uur,True,False,True,11,Medium,True,3,False,63
ptyMKKQTi0zT6,True,True,False,13,Medium,True,3,True,84
VY*7&,False,True,True,5,Weak,True,3,False,45
/tHAQ[Y:u,True,True,True,9,Strong,False,3,False,57
36(;G-eExdy0WH,True,True,True,14,Strong,True,4,True,97
;~j@r^]F],True,True,True,9,Strong,False,3,False,57
&_z]vW#.$,True,True,True,9,Strong,False,3,False,57
Qp[_Mkx%`{,True,True,True,10,Strong,False,3,False,60
5Ns,True,True,False,3,Weak,True,3,False,39
"""]yRypyk6M",True,True,True,10,Strong,True,4,False,70
(n+J[@^uB\1,True,True,True,11,Strong,True,4,False,73
[=++r~NnE_uNi,True,True,True,13,Strong,False,3,True,84
tC\,True,True,True,3,Weak,False,3,False,39
"L6/$lMXfoXI""^E!",True,True,True,15,Strong,True,4,True,100
"""$A,JtZ|3;)yXrhm",True,True,True,16,Strong,True,4,True,100
ZUiwMrYA0/umi-G,True,True,True,15,Strong,True,4,True,100
J:sW.6bmrb,True,True,True,10,Strong,True,4,False,70
[E>,False,True,True,3,Weak,False,2,False,29
MOfSj,True,True,False,5,Weak,False,2,False,35
S3SA/a,True,True,True,6,Medium,True,4,False,58
7m']FZ&,True,True,True,7,Medium,True,4,False,61
kT1>*f-g[g?)Y,True,True,True,13,Strong,True,4,True,94
"/"".7rF#/(7NVW",True,True,True,13,Strong,True,4,True,94
8Y.,False,True,True,3,Weak,True,3,False,39
Yrx^:c8W4&,True,True,True,10,Strong,True,4,False,70
.Wv1^0n<Ks,True,True,True,10,Strong,True,4,False,70
Q~Hb>5-&>y,True,True,True,10,Strong,True,4,False,70
";xml||,~76JVME",True,True,True,14,Strong,True,4,True,97
"UP4],|5_!5H",False,True,True,11,Medium,True,3,False,63
"}-M8gC""3B",True,True,True,9,Strong,True,4,False,67
xX![z%yV^;O,True,True,True,11,Strong,False,3,False,63
lM.age\LX2IAwP,True,True,True,14,Strong,True,4,True,97
:1PO$)~G@n[,True,True,True,11,Strong,True,4,False,73
t-),True,False,True,3,Weak,False,2,False,29
D[byW4,True,True,True,6,Medium,True,4,False,58
Y#Kj3S,True,True,True,6,Medium,True,4,False,58
/s[%,True,False,True,4,Weak,False,2,False,32
"U""[fhShO!|a",True,True,True,11,Strong,False,3,False,63
n|Hl,True,True,True,4,Weak,False,3,False,42
T3@p3jd`RXOvCX%Z,True,True,True,16,Strong,True,4,True,100
^NFh:,True,True,True,5,Weak,False,3,False,45
M}Z5FP:ZaC8i8X_&,True,True,True,16,Strong,True,4,True,100
Q)V&BS]xXz^q9Me,True,True,True,15,Strong,True,4,True,100
"U#IU[:P;,^udHW,$",True,True,True,16,Strong,False,3,True,93
^\4Lw<bT5eq,True,True,True,11,Strong,True,4,False,73
"B<~RL#zd""TG>j*",True,True,True,14,Strong,False,3,True,87
;Y$GX,False,True,True,5,Weak,False,2,False,35
b'JUg,True,True,True,5,Weak,False,3,False,45
"""hV6g6",True,True,True,6,Medium,True,4,False,58
/0G,False,True,True,3,Weak,True,3,False,39
dU8x@GM,True,True,True,7,Medium,True,4,False,61
E&iQJee,True,True,True,7,Medium,False,3,False,51
OQ[io:]S,True,True,True,8,Strong,False,3,False,54
x+1HnH,True,True,True,6,Medium,True,4,False,58
"F,fpje?0=",True,True,True,9,Strong,True,4,False,67
6I-\#UF\%H(,False,True,True,11,Medium,True,3,False,63
"P-dB,",True,True,True,5,Weak,False,3,False,45
yGnM)iI@'Z=W),True,True,True,13,Strong,False,3,True,84
"d=K#`8HC;m""3**",True,True,True,14,Strong,True,4,True,97
"t,WkS'g@z",True,True,True,9,Strong,False,3,False,57
%|uI3ub#dwR\+W`,True,True,True,15,Strong,True,4,True,100
%t(~,True,False,True,4,Weak,False,2,False,32
5nsuG@Ek,True,True,True,8,Strong,True,4,False,64
/]~r:uvCt'Yt,True,True,True,12,Strong,False,3,True,81
H5'ED},False,True,True,6,Medium,True,3,False,48
uV@+k^~TV,True,True,True,9,Strong,False,3,False,57
iQG;{Y//,True,True,True,8,Strong,False,3,False,54
@2TnEVD^M['uP@,True,True,True,14,Strong,True,4,True,97
kEebhdBUBjq_$,True,True,True,13,Strong,False,3,True,84
F3Hdd-@G,True,True,True,8,Strong,True,4,False,64
5P?[)%@o2M_-j,True,True,True,13,Strong,True,4,True,94
rLdR.Skwl71z,True,True,True,12,Strong,True,4,True,91
"=K""U",False,True,True,4,Weak,False,2,False,32
V%g=m>,True,True,True,6,Medium,False,3,False,48
(Dkf&-p2eh]_k,True,True,True,13,Strong,True,4,True,94
"#78,Q4*n$)Y])`.H",True,True,True,16,Strong,True,4,True,100
CxM@C:8xDJ,True,True,True,10,Strong,True,4,False,70
BA4'),False,True,True,5,Weak,True,3,False,45
1dF0H<|4\G~2R,True,True,True,13,Strong,True,4,True,94
LLVt,True,True,False,4,Weak,False,2,False,32
eK<j}P:z5H~V{{b8,True,True,True,16,Strong,True,4,True,100
"E,1@h-Te",True,True,True,8,Strong,True,4,False,64
(<)q9Bs_h`,True,True,True,10,Strong,True,4,False,70
*wr|g:IVhM*Zt,True,True,True,13,Strong,False,3,True,84
vnN,True,True,False,3,Weak,False,2,False,29
"h2TD9jBDrEu,{?RE",True,True,True,16,Strong,True,4,True,100
iuF~cziRKb3<-8Oj,True,True,True,16,Strong,True,4,True,100
zcO,True,True,False,3,Weak,False,2,False,29
d.SkwVN^f?28Esdu,True,True,True,16,Strong,True,4,True,100
b`mL,True,True,True,4,Weak,False,3,False,42
>tld!?[Qf},True,True,True,10,Strong,False,3,False,60
kGk?,True,True,True,4,Weak,False,3,False,42
8E*IEwo>8iNk+),True,True,True,14,Strong,True,4,True,97
Na(0dU]=BTD\,True,True,True,12,Strong,True,4,True,91
"o4.ED=0L,PS",True,True,True,11,Strong,True,4,False,73
y-rhjb&,True,False,True,7,Medium,False,2,False,41
3+id=v#F,True,True,True,8,Strong,True,4,False,64
[6$YeId,True,True,True,7,Medium,True,4,False,61
7Mj(0>SrZ7'dmSQ#,True,True,True,16,Strong,True,4,True,100
n7d3-#Zo#9$j\1QC,True,True,True,16,Strong,True,4,True,100
Q?F10*[B{qQ,True,True,True,11,Strong,True,4,False,73
|@7Qh{]&=,True,True,True,9,Strong,True,4,False,67
"os,.D^",True,True,True,6,Medium,False,3,False,48
#5.@SZr,True,True,True,7,Medium,True,4,False,61
lR.Ee'FEzI|b,True,True,True,12,Strong,False,3,True,81
">xf,",True,False,True,4,Weak,False,2,False,32
VBE,False,True,False,3,Weak,False,1,False,19
IBx9=kk7zW=,True,True,True,11,Strong,True,4,False,73
tFUj,True,True,False,4,Weak,False,2,False,32
&O;g(Ux!:4,True,True,True,10,Strong,True,4,False,70
rbW/(~VOH,True,True,True,9,Strong,False,3,False,57
JMRSV*7SLmtbj1)S,True,True,True,16,Strong,True,4,True,100
i[U>?jP,True,True,True,7,Medium,False,3,False,51
-U<Aoo%dv>\gx,True,True,True,13,Strong,False,3,True,84
>Ruxdn,True,True,True,6,Medium,False,3,False,48
"9a>.,qU+&T*5+",True,True,True,13,Strong,True,4,True,94
kJU,True,True,False,3,Weak,False,2,False,29
Wj0tBO1D,True,True,False,8,Medium,True,3,False,54
%NJR';SN*f8o!<y,True,True,True,15,Strong,True,4,True,100
