Password,Has Lowercase,Has Uppercase,Has Special Character,Length,Strength
A^;pOUU|o%6LVzP,True,True,True,15,Strong
2k%lZ!2C1vrZU,True,True,True,13,Strong
49qL,True,True,False,4,Weak
DWm=SPFA0,True,True,True,9,Strong
V8y&7:2V\>y3,True,True,True,12,Strong
7DP>OS%[z,True,True,True,9,Strong
iIez*kMd3b%5v[,True,True,True,14,Strong
"c_o/""F4\AEVw",True,True,True,12,Strong
"Z'k""pJ!!",True,True,True,8,Strong
@Wv^lL/C#q+|TC,True,True,True,14,Strong
BVC!5,False,True,True,5,Weak
i^M|I`DSmS}WI0-,True,True,True,15,Strong
0N623u,True,True,False,6,Medium
"EARV$gt#}w7d9,",True,True,True,14,Strong
U7&hP4,True,True,True,6,Medium
"WmpC]p&jl]JIPU,;",True,True,True,16,Strong
B%hOuq,True,True,True,6,Medium
l-MhY{S,True,True,True,7,Medium
?a;>G`nBZU@&{|@1,True,True,True,16,Strong
^&L0cA5`G,True,True,True,9,Strong
'2O*M?)4>Nyq@,True,True,True,13,Strong
"5+~da1t,C2qi_",True,True,True,13,Strong
"%,eHSLgAM",True,True,True,9,Strong
S3t:@_,True,True,True,6,Medium
D\4;E#UwM,True,True,True,9,Strong
hMVZ3xc45s\;%DF,True,True,True,15,Strong
b\PS5j2,True,True,True,7,Medium
`wC<uLWlx9YIS,True,True,True,13,Strong
n&vy(G#LQH1#[oRA,True,True,True,16,Strong
dRno''S,True,True,True,7,Medium
"Aq""XpZi",True,True,True,7,Medium
$G>u]A,True,True,True,6,Medium
N'N@V)k1||,True,True,True,10,Strong
oC18J\kL!UD}I,True,True,True,13,Strong
XjL0v,True,True,False,5,Weak
)pk~}&Hr&:%!<T,True,True,True,14,Strong
3C3/S?gX>T,True,True,True,10,Strong
gkXh\(9!?_M)Wr,True,True,True,14,Strong
MqMU6-]\Az,True,True,True,10,Strong
m4<{5OS.M@Rwd,True,True,True,13,Strong
sJNE{<]a2jyZ,True,True,True,12,Strong
"}M~<""_",False,True,True,6,Medium
l^RK1k},True,True,True,7,Medium
iq6MIg;bM9t,True,True,True,11,Strong
uax62[fb{Z39mAN,True,True,True,15,Strong
V=9jN0B6RH,True,True,True,10,Strong
P>3OS55%D{,False,True,True,10,Medium
"o{oiH""U",True,True,True,7,Medium
}R&^tBbHr>P!\&6,True,True,True,15,Strong
"|""h)f<J",True,True,True,7,Medium
uCO/:Xx7rEX),True,True,True,12,Strong
":nU?uWyt)""",True,True,True,10,Strong
|9C}l%,True,True,True,6,Medium
X5{,False,True,True,3,Weak
(q4'le',True,False,True,7,Medium
P-rn6)G~ds>h++,True,True,True,14,Strong
p/v.F/(,True,True,True,7,Medium
"Yu/@K_R@2""HA",True,True,True,12,Strong
bVJ]@^y+A,True,True,True,9,Strong
"{N5*x,A%B[",True,True,True,10,Strong
UrN72Ih`j,True,True,True,9,Strong
-I{,False,True,True,3,Weak
jk[a7d<y,True,False,True,8,Medium
"|,A",False,True,True,3,Weak
kR1:'HFqRv],True,True,True,11,Strong
tm}s,True,False,True,4,Weak
"xj!&f$nU:.""Yy~!@",True,True,True,16,Strong
rkR#H`/vGJ|/;,True,True,True,13,Strong
.Bkd#j,True,True,True,6,Medium
"yN`TK0"";.",True,True,True,9,Strong
1%]}MGK,False,True,True,7,Medium
8q34JG^lN,True,True,True,9,Strong
Z1qW,True,True,False,4,Weak
")EM~4Xk-rt""Up",True,True,True,13,Strong
_MB#Ihljt0,True,True,True,10,Strong
%#qQtoR!m`\X8H09,True,True,True,16,Strong
X_h~AMR_4s-0,True,True,True,12,Strong
2)\`gh^&\%&4iWeT,True,True,True,16,Strong
!BDR-\;0k,True,True,True,9,Strong
Q9}W=>~2e{4pN~,True,True,True,14,Strong
ml9S(t,True,True,True,6,Medium
",&pfGfWFN",True,True,True,9,Strong
&'?i'MbPx\R,True,True,True,11,Strong
S27I6Tf#S,True,True,True,9,Strong
`GM0Y!8z|\tB.JC,True,True,True,15,Strong
>z}R&'<a,True,True,True,8,Strong
sXgL\#!fP*PLaHf,True,True,True,15,Strong
r>I,True,True,True,3,Weak
'iaya.1N;0,True,True,True,10,Strong
Thc+y:.BL,True,True,True,9,Strong
z~q{+4o;.(;tBI6,True,True,True,15,Strong
]U2ZV6koQ,True,True,True,9,Strong
HFd,True,True,False,3,Weak
5lmLJ_~Uro2#d,True,True,True,13,Strong
iqXJcGlv;HmB)E,True,True,True,14,Strong
@l|],True,False,True,4,Weak
"6lAV""Rp9;0v5",True,True,True,12,Strong
0?9I,False,True,True,4,Weak
bNFn'j,True,True,True,6,Medium
#*<rLf$%$5&11zZ|,True,True,True,16,Strong
J2#1a,True,True,True,5,Weak
M3R6jmU}SFKv,True,True,True,12,Strong
$15XR\n,True,True,True,7,Medium
Fv>ThaSAR='pI,True,True,True,13,Strong
BN|hH,True,True,True,5,Weak
8IGhKvNnW)/,True,True,True,11,Strong
DEYleJ-_zN,True,True,True,10,Strong
"b'I\rp}1va""",True,True,True,11,Strong
x%bg2y,True,False,True,6,Medium
"W:+mO)""#b+?*9lj'",True,True,True,16,Strong
QH],False,True,True,3,Weak
"%JcU""HF&*",True,True,True,9,Strong
"\M,.4E",False,True,True,6,Medium
"28J*KM.b""",True,True,True,9,Strong
&AwTKLxi^*Qy\fpK,True,True,True,16,Strong
"|yy@""UUXd6k",True,True,True,11,Strong
G0$6>NLk`6@)fU,True,True,True,14,Strong
u(*t'#ZO+S0,True,True,True,11,Strong
K]xr(Ch$d,True,True,True,9,Strong
%HQJ%&T/q_CmZKF,True,True,True,15,Strong
mfWLo#$ky^eC,True,True,True,12,Strong
UAbw{UVW,True,True,True,8,Strong
lt&760=RNR,True,True,True,10,Strong
$z?<F@I,True,True,True,7,Medium
wws*,True,False,True,4,Weak
L-1,False,True,True,3,Weak
qB^(SXWYo4f',True,True,True,12,Strong
yLne{FZ[/+H,True,True,True,11,Strong
hODF6\x:e,True,True,True,9,Strong
<Oj,True,True,True,3,Weak
pxL'',True,True,True,5,Weak
"iOVn?&It""~4Woi",True,True,True,14,Strong
xtm&Pf,True,True,True,6,Medium
"P6(,C_2",False,True,True,7,Medium
rcI\xP,True,True,True,6,Medium
zbHD[>dzGOz-,True,True,True,12,Strong
"f=e;d,1s*v@Y",True,True,True,12,Strong
"aN=""",True,True,True,4,Weak
",a*DbKm=o,",True,True,True,10,Strong
"""\^v",True,False,True,4,Weak
wF#2qqy/|2720\Pb,True,True,True,16,Strong
!(4,False,False,True,3,Weak
_.'fZGZ,True,True,True,7,Medium
")""{HY`mMWyD@]h",True,True,True,14,Strong
"^Z(pp^io#v[ET"",",True,True,True,15,Strong
cphAq}i,True,True,True,7,Medium
"cI`H#:8,",True,True,True,8,Strong
WXsaM,True,True,False,5,Weak
pR{$,True,True,True,4,Weak
g(s}yCp.fv4%(,True,True,True,13,Strong
gNT\P,True,True,True,5,Weak
ix$'7b~k[xMN,True,True,True,12,Strong
"ra5U""a25&^2"")",True,True,True,13,Strong
$}hf:<%LwO,True,True,True,10,Strong
yLj/Ig>Pu4,True,True,True,10,Strong
46vkUwIH.u,True,True,True,10,Strong
jRI}.;@Q+T(,True,True,True,11,Strong
@d:(*AOx,True,True,True,8,Strong
UTQ3[bE<6nNNT],True,True,True,14,Strong
tuBhLW,True,True,False,6,Medium
"O9e""9s/lAK\ag1us",True,True,True,16,Strong
kW/AW[KA@Gtyqut,True,True,True,15,Strong
'{[V,False,True,True,4,Weak
u68V1QtU,True,True,False,8,Medium
\N~d8O/y,True,True,True,8,Strong
"z,--wB8p6",True,True,True,9,Strong
.wlIF+pu}[v:,True,True,True,12,Strong
NW6xRz]N??<,True,True,True,11,Strong
"""+,`=Ox",True,True,True,7,Medium
[8(?J,False,True,True,5,Weak
jn%|[N;L]b,True,True,True,10,Strong
-zIj1(<a,True,True,True,8,Strong
"Y,KBd,EBYy3>Bt",True,True,True,14,Strong
3`9PbU]/9,True,True,True,9,Strong
d;K<tq(=h~2uqX,True,True,True,14,Strong
g_9vzuwd$T.,True,True,True,11,Strong
g|KIKq,True,True,True,6,Medium
xh(w')0o,True,False,True,8,Medium
d`Q|{y%/Ih4WX_?Y,True,True,True,16,Strong
[zk?/_O,True,True,True,7,Medium
$n|UDpj%<l,True,True,True,10,Strong
TU3FW_h,True,True,True,7,Medium
"\_3a)N,+7E*oq",True,True,True,13,Strong
".<fZ""8FNxd_z",True,True,True,12,Strong
}]}ogUC,True,True,True,7,Medium
n/F,True,True,True,3,Weak
u23>QJ,True,True,True,6,Medium
Hp\R0]WdCtj3.d|=,True,True,True,16,Strong
dfmI1X_,True,True,True,7,Medium
*>$H(CXgI8(RoUVw,True,True,True,16,Strong
F|4'<9ZFa,True,True,True,9,Strong
CT#NsI/xw,True,True,True,9,Strong
yhNy}m}4_}V,True,True,True,11,Strong
"X8;.,kXqAC[A",True,True,True,12,Strong
yMP4_e8hW,True,True,True,9,Strong
"`%uf,D~In#x""",True,True,True,12,Strong
ixBr7,True,True,False,5,Weak
ox`aGyW[(6G&iJ,True,True,True,14,Strong
NRkK?B,True,True,True,6,Medium
qz2,True,False,False,3,Weak
SMa=v)|5Hy(Xf~%Q,True,True,True,16,Strong
.M6a??x\?WX,True,True,True,11,Strong
3kE.,True,True,True,4,Weak
3zf|xYa#+,True,True,True,9,Strong
.ms4S_yQ;yScfI(U,True,True,True,16,Strong
gid-K&L!fa*,True,True,True,11,Strong
>:9G,False,True,True,4,Weak
>8`Iad)dv~aC21,True,True,True,14,Strong
-.HAwV::T,True,True,True,9,Strong
qqBB<iM,True,True,True,7,Medium
8+){S,False,True,True,5,Weak
(+@(`,False,False,True,5,Weak
p~iD](00M-G/>,True,True,True,13,Strong
"^BNlE""",True,True,True,6,Medium
?)Xqe,True,True,True,5,Weak
"JAkm""|j",True,True,True,7,Medium
]gVB4-?&0A,True,True,True,10,Strong
"6,0B",False,True,True,4,Weak
0j}^Mk4c82d0|o!,True,True,True,15,Strong
$].nJY=fuqz9,True,True,True,12,Strong
H:sNZ,True,True,True,5,Weak
mN8*k9Pz`,True,True,True,9,Strong
WOm@`F3ZveB8.,True,True,True,13,Strong
0;Ht=m,True,True,True,6,Medium
T&iI,True,True,True,4,Weak
"_(59N:?#o,",True,True,True,10,Strong
%GaC},True,True,True,5,Weak
Sz_yotkDR-,True,True,True,10,Strong
64N(hTho,True,True,True,8,Strong
87!T.T5/dqA,True,True,True,11,Strong
!P7}jl$,True,True,True,7,Medium
b>KK,True,True,True,4,Weak
wR*UQ3!7A_i7/1,True,True,True,14,Strong
o`4/j@td]uq1[RA,True,True,True,15,Strong
7t`<NPf'LKZt011Y,True,True,True,16,Strong
AzjI,True,True,False,4,Weak
}r+>InDh83|8x`W7,True,True,True,16,Strong
kchNyJ^iK>',True,True,True,11,Strong
Xt`HxL.,True,True,True,7,Medium
"muhWokL*|""JLB~e",True,True,True,15,Strong
:\a$8NE`|g[on,True,True,True,13,Strong
=+\A`qsNt,True,True,True,9,Strong
",86v3H!O{0R^]",True,True,True,13,Strong
WHNux,True,True,False,5,Weak
:$-a,True,False,True,4,Weak
"MchBs""]1LJ>rcptE",True,True,True,16,Strong
@5aJ+,True,True,True,5,Weak
hHn7V@!T,True,True,True,8,Strong
aumxUfx:Q#.kt][<,True,True,True,16,Strong
TRpe,True,True,False,4,Weak
aTBD5.j<,True,True,True,8,Strong
j0%I,True,True,True,4,Weak
cDms7LNo,True,True,False,8,Medium
M:#<S(:HwP6t$,True,True,True,13,Strong
eJK>F(c,True,True,True,7,Medium
We-+J}kbCa-Th,True,True,True,13,Strong
6{}_h/s!uur,True,False,True,11,Medium
ptyMKKQTi0zT6,True,True,False,13,Medium
VY*7&,False,True,True,5,Weak
/tHAQ[Y:u,True,True,True,9,Strong
36(;G-eExdy0WH,True,True,True,14,Strong
;~j@r^]F],True,True,True,9,Strong
&_z]vW#.$,True,True,True,9,Strong
Qp[_Mkx%`{,True,True,True,10,Strong
5Ns,True,True,False,3,Weak
"""]yRypyk6M",True,True,True,10,Strong
(n+J[@^uB\1,True,True,True,11,Strong
[=++r~NnE_uNi,True,True,True,13,Strong
tC\,True,True,True,3,Weak
"L6/$lMXfoXI""^E!",True,True,True,15,Strong
"""$A,JtZ|3;)yXrhm",True,True,True,16,Strong
ZUiwMrYA0/umi-G,True,True,True,15,Strong
J:sW.6bmrb,True,True,True,10,Strong
[E>,False,True,True,3,Weak
MOfSj,True,True,False,5,Weak
S3SA/a,True,True,True,6,Medium
7m']FZ&,True,True,True,7,Medium
kT1>*f-g[g?)Y,True,True,True,13,Strong
"/"".7rF#/(7NVW",True,True,True,13,Strong
8Y.,False,True,True,3,Weak
Yrx^:c8W4&,True,True,True,10,Strong
.Wv1^0n<Ks,True,True,True,10,Strong
Q~Hb>5-&>y,True,True,True,10,Strong
";xml||,~76JVME",True,True,True,14,Strong
"UP4],|5_!5H",False,True,True,11,Medium
"}-M8gC""3B",True,True,True,9,Strong
xX![z%yV^;O,True,True,True,11,Strong
lM.age\LX2IAwP,True,True,True,14,Strong
:1PO$)~G@n[,True,True,True,11,Strong
t-),True,False,True,3,Weak
D[byW4,True,True,True,6,Medium
Y#Kj3S,True,True,True,6,Medium
/s[%,True,False,True,4,Weak
"U""[fhShO!|a",True,True,True,11,Strong
n|Hl,True,True,True,4,Weak
T3@p3jd`RXOvCX%Z,True,True,True,16,Strong
^NFh:,True,True,True,5,Weak
M}Z5FP:ZaC8i8X_&,True,True,True,16,Strong
Q)V&BS]xXz^q9Me,True,True,True,15,Strong
"U#IU[:P;,^udHW,$",True,True,True,16,Strong
^\4Lw<bT5eq,True,True,True,11,Strong
"B<~RL#zd""TG>j*",True,True,True,14,Strong
;Y$GX,False,True,True,5,Weak
b'JUg,True,True,True,5,Weak
"""hV6g6",True,True,True,6,Medium
/0G,False,True,True,3,Weak
dU8x@GM,True,True,True,7,Medium
E&iQJee,True,True,True,7,Medium
OQ[io:]S,True,True,True,8,Strong
x+1HnH,True,True,True,6,Medium
"F,fpje?0=",True,True,True,9,Strong
6I-\#UF\%H(,False,True,True,11,Medium
"P-dB,",True,True,True,5,Weak
yGnM)iI@'Z=W),True,True,True,13,Strong
"d=K#`8HC;m""3**",True,True,True,14,Strong
"t,WkS'g@z",True,True,True,9,Strong
%|uI3ub#dwR\+W`,True,True,True,15,Strong
%t(~,True,False,True,4,Weak
5nsuG@Ek,True,True,True,8,Strong
/]~r:uvCt'Yt,True,True,True,12,Strong
H5'ED},False,True,True,6,Medium
uV@+k^~TV,True,True,True,9,Strong
iQG;{Y//,True,True,True,8,Strong
@2TnEVD^M['uP@,True,True,True,14,Strong
kEebhdBUBjq_$,True,True,True,13,Strong
F3Hdd-@G,True,True,True,8,Strong
5P?[)%@o2M_-j,True,True,True,13,Strong
rLdR.Skwl71z,True,True,True,12,Strong
"=K""U",False,True,True,4,Weak
V%g=m>,True,True,True,6,Medium
(Dkf&-p2eh]_k,True,True,True,13,Strong
"#78,Q4*n$)Y])`.H",True,True,True,16,Strong
CxM@C:8xDJ,True,True,True,10,Strong
BA4'),False,True,True,5,Weak
1dF0H<|4\G~2R,True,True,True,13,Strong
LLVt,True,True,False,4,Weak
eK<j}P:z5H~V{{b8,True,True,True,16,Strong
"E,1@h-Te",True,True,True,8,Strong
(<)q9Bs_h`,True,True,True,10,Strong
*wr|g:IVhM*Zt,True,True,True,13,Strong
vnN,True,True,False,3,Weak
"h2TD9jBDrEu,{?RE",True,True,True,16,Strong
iuF~cziRKb3<-8Oj,True,True,True,16,Strong
zcO,True,True,False,3,Weak
d.SkwVN^f?28Esdu,True,True,True,16,Strong
b`mL,True,True,True,4,Weak
>tld!?[Qf},True,True,True,10,Strong
kGk?,True,True,True,4,Weak
8E*IEwo>8iNk+),True,True,True,14,Strong
Na(0dU]=BTD\,True,True,True,12,Strong
"o4.ED=0L,PS",True,True,True,11,Strong
y-rhjb&,True,False,True,7,Medium
3+id=v#F,True,True,True,8,Strong
[6$YeId,True,True,True,7,Medium
7Mj(0>SrZ7'dmSQ#,True,True,True,16,Strong
n7d3-#Zo#9$j\1QC,True,True,True,16,Strong
Q?F10*[B{qQ,True,True,True,11,Strong
|@7Qh{]&=,True,True,True,9,Strong
"os,.D^",True,True,True,6,Medium
#5.@SZr,True,True,True,7,Medium
lR.Ee'FEzI|b,True,True,True,12,Strong
">xf,",True,False,True,4,Weak
VBE,False,True,False,3,Weak
IBx9=kk7zW=,True,True,True,11,Strong
tFUj,True,True,False,4,Weak
&O;g(Ux!:4,True,True,True,10,Strong
rbW/(~VOH,True,True,True,9,Strong
JMRSV*7SLmtbj1)S,True,True,True,16,Strong
i[U>?jP,True,True,True,7,Medium
-U<Aoo%dv>\gx,True,True,True,13,Strong
>Ruxdn,True,True,True,6,Medium
"9a>.,qU+&T*5+",True,True,True,13,Strong
kJU,True,True,False,3,Weak
Wj0tBO1D,True,True,False,8,Medium
%NJR';SN*f8o!<y,True,True,True,15,Strong
tSwe*$WGIos^=V|@,True,True,True,16,Strong
@+k*Z\$_!8r[^v0S,True,True,True,16,Strong
&z9$hisiFY%YCnF,True,True,True,15,Strong
|{yt@ifZ8xAE,True,True,True,12,Strong
85v3K#$Mfs[i,True,True,True,12,Strong
"|nB""oRChEWmY7s",True,True,True,14,Strong
@fNtKtdHs^E\I,True,True,True,13,Strong
NG~3S,False,True,True,5,Weak
?rt,True,False,True,3,Weak
"""WUKrN8J-e,#m",True,True,True,13,Strong
\Y$c.UK8{'H,True,True,True,11,Strong
uf~6uEl}DLPWE,True,True,True,13,Strong
"N`=d""9Bnx",True,True,True,9,Strong
c.v}-C7gg,True,True,True,9,Strong
!@\x,True,False,True,4,Weak
6MKf}+MS#^T[5D,True,True,True,14,Strong
'M$x|,True,True,True,5,Weak
?$J%A/jN#v'e,True,True,True,12,Strong
e$?3//k{?,True,False,True,9,Medium
+kK^3{gk;`(|btu4,True,True,True,16,Strong
5cM&dC,True,True,True,6,Medium
z{EP7<}$k9qj,True,True,True,12,Strong
(r_A,True,True,True,4,Weak
+vK4)[Ld,True,True,True,8,Strong
*+Tdl=],True,True,True,7,Medium
OA.d%W1a,True,True,True,8,Strong
";2,u'46""",True,False,True,8,Medium
TmYK%ndb}B{C,True,True,True,12,Strong
@R*L%\LeY,True,True,True,9,Strong
!dP;*(SMr(F,True,True,True,11,Strong
"P""a/3rDD/<^4H9;U",True,True,True,16,Strong
*T#iM[^O6nikArAG,True,True,True,16,Strong
"""E""",False,True,True,3,Weak
4#m_@jV6+r[&,True,True,True,12,Strong
"""3]k",True,False,True,4,Weak
"^KONNoQX,",True,True,True,9,Strong
O]3<}}G,False,True,True,7,Medium
'6$yHaUN}_t'g/,True,True,True,14,Strong
&dXmUgxHzg,True,True,True,10,Strong
'51,False,False,True,3,Weak
c8A`nOhWX,True,True,True,9,Strong
QCg,True,True,False,3,Weak
+%g,True,False,True,3,Weak
+u\3K/|[MST,True,True,True,11,Strong
{#Q7EtWy,True,True,True,8,Strong
x5'TeCh>ME,True,True,True,10,Strong
82}9}\=leLi,True,True,True,11,Strong
lx}:'}YmJ&Lb\vk,True,True,True,15,Strong
".o,=XI}It{@t9F",True,True,True,14,Strong
Y}][jk,True,True,True,6,Medium
"j6jK,EO.yRt+%#",True,True,True,14,Strong
oMSi8'i3#mY]M:,True,True,True,14,Strong
B[9}n,True,True,True,5,Weak
"Q{J3G/""kw",True,True,True,9,Strong
"OP:lg&B/`""OK$v",True,True,True,14,Strong
dE{skF]wt,True,True,True,9,Strong
aE={1>jWbV},True,True,True,11,Strong
o0^1x)Tey/,True,True,True,10,Strong
~qQl\wo!H(,True,True,True,10,Strong
`AzpyHBDwz}U2,True,True,True,13,Strong
ro(s)G},True,True,True,7,Medium
"""Gca2h",True,True,True,6,Medium
"\po4,u&_}a{8",True,False,True,12,Medium
}'E\)57zHScTTM7,True,True,True,15,Strong
..>}dYj},True,True,True,8,Strong
"x)u;HB`,a4P[yzER",True,True,True,16,Strong
(cUZgczMUfp=3,True,True,True,13,Strong
"I,""|b5",True,True,True,6,Medium
VVSPYFs,True,True,False,7,Medium
TV%[z/Cedsmk`x,True,True,True,14,Strong
L|=wi*74,True,True,True,8,Strong
B1?8(a<JhA9n*%[:,True,True,True,16,Strong
%Z8E(^/BX,False,True,True,9,Medium
`J*i&&,True,True,True,6,Medium
'41D{jG,True,True,True,7,Medium
|z4,True,False,True,3,Weak
=12$APJj',True,True,True,9,Strong
.Nbc,True,True,True,4,Weak
bNX_z#lgB,True,True,True,9,Strong
OQ{TItCw,True,True,True,8,Strong
>fVRx3(PK#sTv&,True,True,True,14,Strong
3/iGR16J^,True,True,True,9,Strong
"l!?Mf++~(=p-G""",True,True,True,14,Strong
5+Sm~(4cv,True,True,True,9,Strong
",}qbdv0[Fm",True,True,True,10,Strong
%4i',True,False,True,4,Weak
R]*rs%@',True,True,True,8,Strong
kQ+,True,True,True,3,Weak
<A57Et+/.$@-,True,True,True,12,Strong
W7-!c<[&MqM<,True,True,True,12,Strong
~fb:l84S,True,True,True,8,Strong
|VgOC,True,True,True,5,Weak
Z)`O?{K=~OFZ,False,True,True,12,Medium
|K#s#o'|W,True,True,True,9,Strong
"&?xih`""_7",True,False,True,9,Medium
'=*zLZL^^YjR*btn,True,True,True,16,Strong
`OGJ>>0jz,True,True,True,9,Strong
"[F@,""BA}U",False,True,True,9,Medium
&F%.WxQ%G0.]Pm.H,True,True,True,16,Strong
IFzte{J;,True,True,True,8,Strong
^Ocyap~.T-n3dV,True,True,True,14,Strong
VAT=}|Ff:s,True,True,True,10,Strong
"BEt2(6.}bH\,",True,True,True,12,Strong
w:Bz2$2=[}p+$|Dn,True,True,True,16,Strong
y]vOB`n_lYVznHtw,True,True,True,16,Strong
6-%=#FJ`=C5tBk]@,True,True,True,16,Strong
@]A\Y8nkH}_Npbz,True,True,True,15,Strong
"Dz6,O8#D",True,True,True,8,Strong
{/-#,False,False,True,4,Weak
4-6:-G,False,True,True,6,Medium
z9J/92yw',True,True,True,9,Strong
"+w;]jlMR#{,?_&",True,True,True,14,Strong
]0r-|4|,True,False,True,7,Medium
]PTJ;0J*_2j_q,True,True,True,13,Strong
7~ZBpVpavj>m,True,True,True,12,Strong
)X~_lR,True,True,True,6,Medium
j+t6,True,False,True,4,Weak
W>Tka%#Vq,True,True,True,9,Strong
"D~0,~9UQ\s~HH",True,True,True,13,Strong
"m,t",True,False,True,3,Weak
#GncGFFSG,True,True,True,9,Strong
"_~U,",False,True,True,4,Weak
p;IC'66-S)=(`Q,True,True,True,14,Strong
`bf*,True,False,True,4,Weak
H%+sP,True,True,True,5,Weak
($Z+yTo,True,True,True,7,Medium
8uW)&?.4r._NG,True,True,True,13,Strong
]Wh1CqG]pc^,True,True,True,11,Strong
q](_5q+V{Ixh,True,True,True,12,Strong
F[wr193\,True,True,True,8,Strong
KC:3X?,False,True,True,6,Medium
Vc${M,True,True,True,5,Weak
<aYsEogZ:-|D',True,True,True,13,Strong
7Wf_>zo[-[u,True,True,True,11,Strong
"a8%pny,Y0?|STB",True,True,True,14,Strong
5pzb,True,False,False,4,Weak
+_%a#,True,False,True,5,Weak
-oO<E[IN]hd,True,True,True,11,Strong
d7.J#?t~6*K}[,True,True,True,13,Strong
+U@r:$T47V,True,True,True,10,Strong
9qlI!svcnPZ9r,True,True,True,13,Strong
/*{-BEsPL,True,True,True,9,Strong
|9$7ndCXv_s@Y(K[,True,True,True,16,Strong
dp''dJ~.*2)%,True,True,True,12,Strong
{O0EsA(H4kUWA{,True,True,True,14,Strong
CZL24VUF,False,True,False,8,Medium
}hLFY3%vRD3!,True,True,True,12,Strong
j9+J$ioW47tQdwhz,True,True,True,16,Strong
QPHs]r>,True,True,True,7,Medium
/6h@.;jKrJ,True,True,True,10,Strong
"f""HFT",True,True,True,5,Weak
[nmmEoPHebu>_Ap,True,True,True,15,Strong
"FR>""L7;-b>;.Mh",True,True,True,14,Strong
I@J,False,True,True,3,Weak
X:nR,True,True,True,4,Weak
J:rp,True,True,True,4,Weak
2<1nCM5mN-A;D<,True,True,True,14,Strong
:?EULCnDN9/px{/,True,True,True,15,Strong
I9@,False,True,True,3,Weak
"[-""}yJ>1A7#",True,True,True,11,Strong
